9428	9428
3324	3324
11677	11677
899	899
3779	3779
10952	10952
15912	15912
153	153
490	490
8838	8838
12726	12726
15842	15842
2361	2361
16354	16354
10004	10004
952	952
4630	4630
7402	7402
9788	9788
16520	16520
13065	13065
1335	1335
16036	16036
2510	2510
1542	1542
7330	7330
2661	2661
12901	12901
5756	5756
1759	1759
12484	12484
10067	10067
15996	15996
2817	2817
4575	4575
6405	6405
6080	6080
4410	4410
4000	4000
1119	1119
8352	8352
14386	14386
16350	16350
12828	12828
600	600
5287	5287
11756	11756
16128	16128
1488	1488
5949	5949
11962	11962
15546	15546
7090	7090
8049	8049
2501	2501
10417	10417
6906	6906
13610	13610
16627	16627
7977	7977
7895	7895
10266	10266
8997	8997
2945	2945
14293	14293
10770	10770
16231	16231
13079	13079
12601	12601
16266	16266
7343	7343
2964	2964
5879	5879
796	796
7178	7178
320	320
643	643
6194	6194
16150	16150
5929	5929
3264	3264
5832	5832
6510	6510
5867	5867
8054	8054
15353	15353
16575	16575
12882	12882
12981	12981
306	306
9086	9086
4322	4322
7171	7171
11055	11055
6417	6417
2102	2102
11814	11814
12605	12605
15802	15802
13185	13185
13828	13828
16191	16191
15200	15200
7052	7052
14529	14529
6658	6658
41	41
590	590
14427	14427
15745	15745
11970	11970
12965	12965
15954	15954
9726	9726
8822	8822
11336	11336
7764	7764
4594	4594
6734	6734
2564	2564
16854	16854
16285	16285
12190	12190
3503	3503
10581	10581
14870	14870
12116	12116
10042	10042
670	670
545	545
8813	8813
6857	6857
11189	11189
6915	6915
16375	16375
398	398
13962	13962
9088	9088
14669	14669
5911	5911
12554	12554
16918	16918
9473	9473
5780	5780
599	599
8993	8993
5190	5190
12817	12817
1460	1460
16038	16038
4604	4604
3231	3231
1696	1696
14631	14631
510	510
9893	9893
14734	14734
8446	8446
12057	12057
3422	3422
5416	5416
2486	2486
841	841
16491	16491
6048	6048
2448	2448
10668	10668
15222	15222
9216	9216
2015	2015
14726	14726
3068	3068
3419	3419
15019	15019
1973	1973
2038	2038
7303	7303
14809	14809
1034	1034
15405	15405
7218	7218
7611	7611
9678	9678
1089	1089
5426	5426
9586	9586
1953	1953
11657	11657
795	795
13629	13629
482	482
16199	16199
16950	16950
16194	16194
8547	8547
10217	10217
8159	8159
397	397
15370	15370
12028	12028
6166	6166
8958	8958
7773	7773
8820	8820
15736	15736
15215	15215
14679	14679
16825	16825
10215	10215
10713	10713
13445	13445
13735	13735
7061	7061
9595	9595
10504	10504
10108	10108
14972	14972
5347	5347
6295	6295
2906	2906
8208	8208
1448	1448
6205	6205
4811	4811
7944	7944
10583	10583
8222	8222
2524	2524
13176	13176
13284	13284
15857	15857
11339	11339
8278	8278
15844	15844
2947	2947
16715	16715
6516	6516
4136	4136
16112	16112
1402	1402
16283	16283
13293	13293
6322	6322
4794	4794
11871	11871
12891	12891
12635	12635
3516	3516
11988	11988
6500	6500
16208	16208
10517	10517
7191	7191
11671	11671
2557	2557
726	726
4529	4529
6227	6227
8320	8320
4742	4742
16844	16844
6245	6245
13645	13645
9807	9807
6977	6977
2545	2545
2360	2360
3592	3592
16446	16446
11154	11154
16529	16529
1671	1671
1511	1511
15412	15412
4554	4554
13950	13950
5271	5271
5027	5027
12938	12938
2803	2803
16074	16074
8742	8742
15360	15360
5419	5419
4502	4502
435	435
12066	12066
11879	11879
10206	10206
16220	16220
13586	13586
16230	16230
5131	5131
13981	13981
13881	13881
43	43
1706	1706
10008	10008
12779	12779
13916	13916
11357	11357
3000	3000
13590	13590
14441	14441
7876	7876
9116	9116
14730	14730
984	984
10309	10309
10505	10505
16420	16420
15965	15965
16143	16143
12143	12143
13563	13563
9519	9519
6312	6312
4940	4940
758	758
6432	6432
12930	12930
15266	15266
7458	7458
12361	12361
9133	9133
7936	7936
10807	10807
12990	12990
10945	10945
6839	6839
5166	5166
14294	14294
10636	10636
4274	4274
8890	8890
3543	3543
291	291
7958	7958
8903	8903
1278	1278
7782	7782
9170	9170
3802	3802
3675	3675
3139	3139
4146	4146
7915	7915
15022	15022
1131	1131
3933	3933
9418	9418
7674	7674
9124	9124
10326	10326
1910	1910
2096	2096
11815	11815
13498	13498
13426	13426
4818	4818
14959	14959
13428	13428
14710	14710
12632	12632
9310	9310
1784	1784
11095	11095
9099	9099
11936	11936
1902	1902
7839	7839
5805	5805
6104	6104
8094	8094
8841	8841
4539	4539
2831	2831
1078	1078
4282	4282
6837	6837
16781	16781
1897	1897
2084	2084
7983	7983
5812	5812
6821	6821
2629	2629
11073	11073
332	332
6599	6599
5739	5739
8209	8209
16131	16131
11284	11284
3502	3502
8579	8579
11865	11865
3064	3064
8926	8926
8530	8530
15153	15153
1868	1868
2665	2665
5762	5762
5255	5255
6686	6686
10614	10614
6493	6493
73	73
3421	3421
16592	16592
15576	15576
14756	14756
5968	5968
9528	9528
4193	4193
4081	4081
13546	13546
8448	8448
15548	15548
7125	7125
12582	12582
11442	11442
6399	6399
12293	12293
8377	8377
6902	6902
11201	11201
10376	10376
13012	13012
5296	5296
15930	15930
13921	13921
7636	7636
1018	1018
8788	8788
7546	7546
3504	3504
9525	9525
16858	16858
14684	14684
10068	10068
6362	6362
15302	15302
5217	5217
451	451
14056	14056
12337	12337
3062	3062
15521	15521
4378	4378
7591	7591
13841	13841
8894	8894
15771	15771
9196	9196
12086	12086
2137	2137
10011	10011
4245	4245
1472	1472
799	799
15653	15653
6379	6379
8837	8837
5125	5125
12688	12688
13329	13329
7446	7446
14780	14780
4278	4278
10574	10574
9987	9987
2679	2679
12262	12262
15641	15641
3266	3266
10676	10676
2456	2456
5301	5301
5776	5776
7161	7161
12974	12974
1987	1987
13554	13554
14366	14366
7185	7185
3022	3022
16166	16166
11520	11520
5740	5740
2493	2493
3842	3842
7762	7762
4933	4933
6700	6700
65	65
7934	7934
14233	14233
5410	5410
7957	7957
9163	9163
5192	5192
15189	15189
9039	9039
4028	4028
9215	9215
382	382
438	438
6291	6291
12805	12805
695	695
5925	5925
1691	1691
15408	15408
10244	10244
5801	5801
13524	13524
3414	3414
10269	10269
13059	13059
12534	12534
13555	13555
10123	10123
13083	13083
6861	6861
12260	12260
15797	15797
953	953
14912	14912
10895	10895
8229	8229
13991	13991
6204	6204
15915	15915
8176	8176
15260	15260
3749	3749
4	4
10763	10763
7826	7826
5602	5602
7414	7414
13182	13182
13025	13025
13249	13249
8772	8772
11414	11414
16278	16278
10262	10262
12135	12135
7750	7750
2734	2734
8122	8122
7360	7360
5927	5927
10610	10610
4086	4086
3667	3667
6133	6133
1828	1828
15413	15413
6444	6444
245	245
11065	11065
5230	5230
8415	8415
51	51
954	954
1677	1677
15418	15418
12531	12531
431	431
15993	15993
16306	16306
2103	2103
3512	3512
8821	8821
1107	1107
13851	13851
8396	8396
7973	7973
7005	7005
7697	7697
3835	3835
13424	13424
16427	16427
10795	10795
12800	12800
15792	15792
9961	9961
3972	3972
8927	8927
14210	14210
5496	5496
11006	11006
5637	5637
4194	4194
11204	11204
1328	1328
5640	5640
14723	14723
11125	11125
10808	10808
4796	4796
3552	3552
1418	1418
16179	16179
9804	9804
830	830
7952	7952
16646	16646
1961	1961
15860	15860
7775	7775
3900	3900
5654	5654
14352	14352
15194	15194
2596	2596
